代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	换手Z	流通市值Z	市盈(TTM)	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	现均差%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	存货(亿)	应收帐款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
="000001"	平安银行	-2.41	13.79	-0.34	13.79	13.80	1009421	4604	0.00	          0.59	14.08	14.25	13.70	14.13	     7.95	1407987328	  0.77	银行	深圳	3.89	13.95	521216	488205	  1.07	1649	327	--  	10392400	          0.01	--  	--  	        171.70	       2367.78亿	       2367.80亿	 -1.13	   4581	    220	        0.0001	-2	-2.00	12.85	31.08	47.01	          1.33	       1049.46亿	9.22	9.54	0.90	-- -- 				-0.35	0.85	-3.04	-1.28	-2.06	-3.23	0.66	-1.12	20190424	19910403	        171.70	--  	--  	35301.80	2509.38	          0.00	92.89	0.00	106.23	45.75	0.00	0.00	0.00	564.65	324.76	0.00	96.67	25.71	96.71	74.46	74.46	74.22	1016.09	531.84	403.17	354508.00	         21467	29.60万	12.90	15.88	          1.03	4.45	7.29	1.05	0.380㈠	         13.45	13.45	          3.29	          5.92	          3.10	          7.11	   2.97㈠	--  	         29.77	         22.93	0.00	34626	000001	--  	--  	--  	
="000002"	万 科Ａ	-1.05	29.08	-0.31	29.07	29.08	396883	3629	-0.13	          0.41	29.10	29.38	28.90	29.39	     9.73	1155740032	  0.61	全国地产	深圳	1.63	29.12	206479	190404	  1.08	98	2042	--  	10231600	          0.01	--  	--  	         97.15	       2825.17亿	       2827.80亿	  0.23	   4570	     87	        0.0001	-2	-1.46	0.97	14.44	22.08	          0.82	       1409.41亿	9.73	9.73	0.84	-- -- 				-0.99	-0.03	-1.67	-0.92	-0.07	-1.02	0.62	-0.14	20190408	19910129	        113.02	--  	         15.78	15285.79	1557.64	        798.57	84.59	12950.72	115.34	49.53	11219.14	7503.03	15.86	80.06	2976.79	1861.04	674.99	67.88	674.60	492.72	337.73	334.90	917.25	336.18	110.51	239133.00	         20268	58.94万	20.39	22.55	          2.06	9.78	1.10	3.59	3.060㈣	         14.11	14.11	          0.71	          8.12	          2.97	         10.19	  21.68㈣	         37.48	         22.67	         11.35	9.46	104300	000002	--  	--  	--  	
="000004"	国农科技	2.35	22.18	0.51	22.17	22.18	15799	205	0.00	          1.91	21.63	22.60	21.05	21.67	    87.04	34532580	  1.14	生物制药	深圳	7.15	21.86	6886	8913	  0.77	14	224	--  	103800	          0.01	--  	--  	          0.83	         18.39亿	         18.63亿	  3.63	   1235	     13	        0.0015	3	7.09	2.35	36.07	38.37	          3.19	         10.97亿	163.25	217.42	0.60	-- -- 				-0.18	4.29	-2.86	0.86	2.54	-1.86	5.37	1.49	20190426	19910114	          0.84	--  	--  	1.61	1.15	          0.20	16.38	1.16	0.01	0.00	0.26	0.00	0.28	0.01	1.07	0.25	0.17	0.17	0.16	0.05	0.05	-0.05	0.19	0.04	0.35	10044.00	          4923	10.92万	159.64	41.47	         16.26	469.67	17.42	0.00	0.064㈠	          1.36	0.00	          0.01	          0.22	          0.05	         71.03	   4.67㈠	         76.62	         15.82	          5.00	0.01	172	000004	--  	--  	--  	
="000005"	世纪星源	0.29	3.50	0.01	3.50	3.51	152383	934	0.00	          1.44	3.49	3.62	3.40	3.49	--  	52794580	  0.70	环境保护	深圳	6.30	3.46	73643	78739	  0.94	22	793	--  	166800	          0.01	--  	--  	         10.58	         37.03亿	         37.05亿	  1.57	   1734	     88	        0.0008	1	-4.63	-4.89	19.45	30.60	          1.74	         30.58亿	32.24	24.90	1.03	-- -- 				0.00	3.72	-2.58	-0.73	0.29	-3.31	2.94	1.01	20190425	19901210	         10.59	--  	--  	29.52	14.72	          0.90	47.11	16.30	0.28	0.69	13.82	4.56	2.82	6.88	0.84	0.62	-0.17	-0.02	-0.18	-0.18	-0.18	-0.18	-3.15	0.70	0.19	125079.00	          6985	2.44万	-209.93	-44.98	          2.52	52.57	44.25	0.00	-0.017㈠	          1.39	0.00	          0.65	         -0.30	          0.07	         49.84	  -1.21㈠	         25.62	        -20.77	        -21.20	0.05	745	000005	--  	--  	--  	
="000006"	深振业Ａ	-0.81	6.13	-0.05	6.13	6.14	92958	499	-0.32	          0.69	6.20	6.23	6.13	6.18	     9.47	57457316	  0.83	区域地产	深圳	1.62	6.18	46761	46197	  1.01	1493	13	--  	26000	          0.00	--  	--  	         13.48	         82.62亿	         82.75亿	  0.47	   1695	     55	        0.0004	-2	-4.97	-6.41	16.32	18.34	          1.08	         52.90亿	9.47	9.47	0.97	-- -- 				0.32	0.81	-0.81	0.02	-1.13	-1.61	0.00	-0.83	20190401	19920427	         13.50	--  	--  	135.37	61.98	          1.88	52.82	104.27	0.07	0.00	54.37	64.37	0.08	4.84	25.12	15.38	10.67	4.99	10.69	9.23	8.74	8.71	28.79	16.07	6.48	73575.00	         11729	7.19万	8.52	-15.12	          1.34	5.15	3.29	3.18	0.648㈣	          4.59	0.00	          0.36	          2.13	          1.19	         45.78	  14.11㈣	         38.79	         42.49	         34.80	0.00	377	000006	--  	--  	--  	
="000007"	全新好	-4.15	6.23	-0.27	6.22	6.23	68561	468	-0.15	          2.22	6.45	6.62	6.07	6.50	--  	43471436	  0.77	酒店餐饮	深圳	8.46	6.34	38144	30417	  1.25	63	46	--  	123500	          0.01	--  	--  	          3.09	         19.25亿	         21.58亿	 -2.87	   1711	     40	        0.0013	-2	-12.00	-11.38	-4.74	-22.70	          2.93	         14.57亿	--  	131.18	1.62	空头排列				-0.77	1.85	-6.62	-2.45	-3.41	-5.89	2.64	-1.70	20190413	19920413	          3.46	--  	--  	4.25	3.78	          0.03	10.25	1.41	0.67	0.00	0.42	0.00	0.00	1.57	0.32	0.09	-0.12	0.05	-0.13	-0.09	-0.09	0.09	-1.34	-0.06	-0.01	13946.00	         16775	10.45万	-183.86	-5.28	         89.00	-350.76	66.90	0.00	-0.025㈢	          0.07	0.07	          0.45	         -0.39	         -0.02	         88.93	  -2.29㈢	         70.70	        -36.56	        -26.84	0.00	102	000007	--  	--  	--  	
="000008"	神州高铁	0.22	4.49	0.01	4.49	4.50	266551	1788	0.00	          1.03	4.46	4.56	4.45	4.48	    38.41	119757408	  0.69	运输设备	北京	2.46	4.49	129076	137474	  0.94	1054	976	--  	636000	          0.01	--  	--  	         25.99	        116.70亿	        124.86亿	  1.50	   2451	    109	        0.0004	1	-3.86	-0.22	16.02	15.42	          1.58	         75.68亿	38.41	38.41	0.97	-- -- 				-0.45	1.79	-0.67	0.29	0.67	-1.54	0.90	-0.06	20190425	19920507	         27.81	--  	--  	104.66	73.13	          0.92	29.25	56.33	3.08	2.34	27.71	6.93	30.85	27.72	25.65	13.10	4.33	0.25	4.35	3.42	3.25	3.27	16.69	-5.91	0.53	91600.00	         18400	8.26万	-62.80	10.04	          1.71	-21.14	4.87	0.22	0.117㈣	          2.63	0.00	          1.00	          0.60	         -0.21	         69.87	   4.44㈣	         48.92	         16.88	         12.67	2.14	2417	000008	--  	--  	--  	
="000009"	中国宝安	-0.32	6.18	-0.02	6.18	6.19	245858	1824	0.00	          1.16	6.13	6.29	6.13	6.20	   101.03	152965984	  0.41	综合类	深圳	2.58	6.22	112783	133075	  0.85	310	1669	--  	1767300	          0.02	--  	--  	         21.20	        131.00亿	        132.83亿	  0.96	   2754	     89	        0.0004	-2	-5.93	-5.07	43.72	43.39	          1.41	        107.78亿	258.76	99.72	1.34	-- -- 				-1.13	1.45	-1.13	0.35	0.82	-1.75	0.82	-0.67	20190413	19910625	         21.49	--  	--  	288.01	50.88	         48.89	65.36	195.94	36.41	10.33	118.67	94.92	24.54	8.05	66.49	43.00	3.49	3.77	3.77	2.59	0.99	0.89	18.60	20.56	3.91	164659.00	         10592	6.55万	-45.36	36.45	          2.54	6.46	2.00	0.32	0.046㈢	          2.43	2.43	          0.37	          0.87	          0.96	         17.67	   1.94㈢	         35.34	          5.26	          1.48	2.27	10944	000009	--  	--  	--  	
="000010"	*ST美丽	-4.99	3.43	-0.18	--  	3.43	7862	32	0.00	          0.15	3.43	3.43	3.43	3.61	--  	2696666	  0.12	建筑工程	深圳	0.00	3.43	1139	6723	  0.17	0	199028	--  	770400	          0.04	25.32	68266608	          5.22	         17.91亿	         28.12亿	 -3.71	    196	     40	        0.0008	-1	-8.30	0.00	3.31	5.21	          0.15	         17.91亿	--  	--  	1.09	-- -- 				-4.99	-4.99	-4.99	-4.99	0.00	0.00	0.00	0.00	20190425	19951027	          8.20	--  	--  	32.73	4.19	          1.71	81.95	26.19	0.71	0.10	26.07	12.34	9.32	14.95	3.45	3.00	-7.16	0.17	-7.24	-7.27	-7.32	-7.31	-19.04	-2.38	-1.07	45100.00	         11578	3.97万	31.08	-54.42	          6.71	-11.79	8.14	0.00	-0.892㈣	          0.51	0.00	          1.82	         -2.32	         -0.29	         12.81	-174.44㈣	         13.20	       -207.28	       -211.78	0.02	545	000010	--  	--  	--  	
="000011"	深物业A	-0.09	10.75	-0.01	10.75	10.76	28119	173	0.09	          1.60	10.84	10.92	10.72	10.76	    10.81	30400326	  0.65	区域地产	深圳	1.86	10.81	11976	16142	  0.74	125	132	--  	217900	          0.01	--  	--  	          1.76	         18.91亿	         64.07亿	  1.19	   1574	     18	        0.0010	-2	-3.41	-5.12	13.04	17.10	          1.93	         15.70亿	10.81	10.81	0.84	-- -- 				0.74	1.49	-0.37	0.48	-0.83	-1.56	0.28	-0.57	20190401	19920330	          5.96	          0.68	--  	58.20	33.38	          0.03	42.59	47.12	0.33	0.00	24.25	11.82	0.64	1.19	27.87	13.15	7.76	0.02	7.77	5.93	5.93	5.91	23.25	11.24	9.11	45610.00	          4685	5.04万	-4.85	-4.04	          1.92	5.70	2.30	2.79	0.995㈣	          5.60	0.00	          0.20	          3.90	          1.89	         57.35	  17.76㈣	         52.81	         27.83	         21.27	0.00	5504	000011	--  	--  	--  	
